날짜,측정소명,미세먼지,초미세먼지,오존,이산화질소 NO2 (ppm),일산화탄소 CO (ppm),아황산가스 SO2(ppm),PM10_등급,PM25_등급,위험지역,PM10_점수,PM25_점수,공기질_가중스코어,공기질_위험등급,월,계절
2019-12-31,강남구,22.0,14.0,0.025,0.014,0.4,0.003,좋음,좋음,안전,1,1,1.0,저위험,12,겨울
2019-12-31,강동구,27.0,19.0,0.019,0.02,0.4,0.003,좋음,보통,안전,1,2,1.6,저위험,12,겨울
2019-12-31,강북구,31.0,17.0,0.022,0.022,0.4,0.002,보통,보통,안전,2,2,2.0,저위험,12,겨울
2019-12-31,강서구,29.0,16.0,0.022,0.017,0.4,0.004,좋음,보통,안전,1,2,1.6,저위험,12,겨울
2019-12-31,관악구,36.0,18.0,0.026,0.013,0.4,0.003,보통,보통,안전,2,2,2.0,저위험,12,겨울
2019-12-31,광진구,22.0,10.0,0.019,0.016,0.4,0.002,좋음,좋음,안전,1,1,1.0,저위험,12,겨울
2019-12-31,구로구,25.0,16.0,0.022,0.02,0.3,0.004,좋음,보통,안전,1,2,1.6,저위험,12,겨울
2019-12-31,금천구,23.0,18.0,0.019,0.019,0.4,0.003,좋음,보통,안전,1,2,1.6,저위험,12,겨울
2019-12-31,노원구,22.0,17.0,0.021,0.014,0.4,0.004,좋음,보통,안전,1,2,1.6,저위험,12,겨울
2019-12-31,도봉구,19.0,12.0,0.027,0.011,0.3,0.002,좋음,좋음,안전,1,1,1.0,저위험,12,겨울
2019-12-31,동대문구,25.0,12.0,0.02,0.016,0.4,0.003,좋음,좋음,안전,1,1,1.0,저위험,12,겨울
2019-12-31,동작구,30.0,19.0,0.02,0.013,0.3,0.003,좋음,보통,안전,1,2,1.6,저위험,12,겨울
2019-12-31,마포구,24.0,15.0,0.021,0.013,0.4,0.002,좋음,좋음,안전,1,1,1.0,저위험,12,겨울
2019-12-31,서대문구,23.0,9.0,0.022,0.015,0.5,0.002,좋음,좋음,안전,1,1,1.0,저위험,12,겨울
2019-12-31,서초구,27.0,13.0,0.027,0.021,0.2,0.003,좋음,좋음,안전,1,1,1.0,저위험,12,겨울
2019-12-31,성동구,25.0,16.0,0.021,0.02,0.3,0.003,좋음,보통,안전,1,2,1.6,저위험,12,겨울
2019-12-31,성북구,26.0,12.0,0.023,0.018,0.6,0.003,좋음,좋음,안전,1,1,1.0,저위험,12,겨울
2019-12-31,송파구,26.0,18.0,0.019,0.017,0.4,0.003,좋음,보통,안전,1,2,1.6,저위험,12,겨울
2019-12-31,양천구,29.0,17.0,0.018,0.019,0.4,0.004,좋음,보통,안전,1,2,1.6,저위험,12,겨울
2019-12-31,영등포구,22.0,14.0,0.019,0.018,0.5,0.002,좋음,좋음,안전,1,1,1.0,저위험,12,겨울
2019-12-31,용산구,37.0,18.0,0.022,0.011,0.3,0.003,보통,보통,안전,2,2,2.0,저위험,12,겨울
2019-12-31,은평구,24.0,13.0,0.023,0.011,0.4,0.003,좋음,좋음,안전,1,1,1.0,저위험,12,겨울
2019-12-31,종로구,27.0,19.0,0.02,0.016,0.4,0.003,좋음,보통,안전,1,2,1.6,저위험,12,겨울
2019-12-31,중구,26.0,18.0,0.022,0.014,0.4,0.002,좋음,보통,안전,1,2,1.6,저위험,12,겨울
2019-12-31,중랑구,23.0,12.0,0.019,0.018,0.4,0.003,좋음,좋음,안전,1,1,1.0,저위험,12,겨울
2019-12-30,강남구,35.0,25.0,0.012,0.032,0.6,0.003,보통,보통,안전,2,2,2.0,저위험,12,겨울
2019-12-30,강동구,40.0,29.0,0.012,0.031,0.6,0.003,보통,보통,안전,2,2,2.0,저위험,12,겨울
2019-12-30,강북구,37.0,25.0,0.015,0.034,0.6,0.003,보통,보통,안전,2,2,2.0,저위험,12,겨울
2019-12-30,강서구,42.0,25.0,0.014,0.032,0.6,0.004,보통,보통,안전,2,2,2.0,저위험,12,겨울
2019-12-30,관악구,38.0,24.0,0.009,0.033,0.6,0.003,보통,보통,안전,2,2,2.0,저위험,12,겨울
2019-12-30,광진구,36.0,21.0,0.013,0.025,0.8,0.003,보통,보통,안전,2,2,2.0,저위험,12,겨울
2019-12-30,구로구,33.0,27.0,0.016,0.027,0.4,0.003,보통,보통,안전,2,2,2.0,저위험,12,겨울
2019-12-30,금천구,31.0,28.0,0.01,0.032,0.5,0.003,보통,보통,안전,2,2,2.0,저위험,12,겨울
2019-12-30,노원구,32.0,27.0,0.011,0.033,0.7,0.004,보통,보통,안전,2,2,2.0,저위험,12,겨울
2019-12-30,도봉구,28.0,20.0,0.008,0.032,0.8,0.003,좋음,보통,안전,1,2,1.6,저위험,12,겨울
2019-12-30,동대문구,37.0,24.0,0.01,0.033,0.7,0.003,보통,보통,안전,2,2,2.0,저위험,12,겨울
2019-12-30,동작구,42.0,29.0,0.011,0.034,0.5,0.003,보통,보통,안전,2,2,2.0,저위험,12,겨울
